,iteration,num_vars,score,improve_percent,new_var
0,0,1,0.008962280810052237,-0.8207543837989553,sqft_lot15
1,0,2,0.401435738517286,43.791693880761834,sqft_living15
2,0,3,0.4637057093383381,0.15511815428055306,floors
3,0,4,0.5587013810268828,0.20486198417546786,grade
4,0,5,0.6242325286906697,0.11729190205927509,bathrooms
5,0,6,0.6868039738900855,0.10023739924393188,yr_built
6,0,7,0.6785785383681775,-0.011976394771449588,bedrooms
7,0,8,0.6763803586542031,-0.003239388795378807,sqft_lot
8,0,9,0.7428445428878636,0.09826450958142041,waterfront
9,0,10,0.7512041204425721,0.011253468353163135,view
10,0,11,0.7469296533702354,-0.005690153922236732,condition
11,0,12,0.7297409680696785,-0.023012455353726494,sqft_basement
12,0,13,0.7580341476337051,0.03877153784974988,sqft_above
13,0,14,0.7656407735519798,0.010034674482699303,yr_renovated
14,0,15,0.7944214949750956,0.037590371904562485,sqft_living
15,1,1,0.5357659442206706,9.715318884413412,sqft_living
16,1,2,0.5591634682291713,0.04367116697298655,grade
17,1,3,0.6503877559614077,0.16314421974156668,waterfront
18,1,4,0.6614139034011898,0.016953190367926134,bathrooms
19,1,5,0.6823109948450297,0.0315945754033605,floors
20,1,6,0.6846613017544161,0.003444627050045176,bedrooms
21,1,7,0.7414770984876009,0.08298380029307441,yr_built
22,1,8,0.74763732757453,0.008308050376059133,view
23,1,9,0.7494060639036604,0.0023657678180253865,sqft_above
24,1,10,0.7446621770571881,-0.006330195437385946,condition
25,1,11,0.762038906225773,0.023335050045452246,sqft_lot15
26,1,12,0.764512008006987,0.0032453746928261863,sqft_basement
27,1,13,0.7715137844944663,0.009158491186727374,yr_renovated
28,1,14,0.7566706539744019,-0.019238969955397894,sqft_lot
29,1,15,0.7948178249976845,0.0504144978041835,sqft_living15
30,2,1,0.008962280810052237,-0.8207543837989553,sqft_lot15
31,2,2,0.010972928824006578,0.2243455719105751,sqft_lot
32,2,3,0.03191324555064279,1.9083616655585132,condition
33,2,4,0.43677566956368574,12.686344401122446,bathrooms
34,2,5,0.586735964511679,0.34333481784320796,sqft_living15
35,2,6,0.620305960407871,0.057214825622852745,sqft_basement
36,2,7,0.6658179193117121,0.07337017828091723,yr_built
37,2,8,0.6988676268992629,0.04963775625281434,waterfront
38,2,9,0.6925162157363635,-0.009088146193120065,view
39,2,10,0.7019456593224224,0.013616206193861365,bedrooms
40,2,11,0.7147186364601674,0.018196532691824918,sqft_above
41,2,12,0.7239407248061958,0.01290310322912966,yr_renovated
42,2,13,0.7265358503543381,0.0035847210402993627,floors
43,2,14,0.7624373810775958,0.049414671974890495,sqft_living
44,2,15,0.7953526878444664,0.04317116078483657,grade
45,3,1,0.00930099290928521,-0.8139801418142958,condition
46,3,2,0.05895373896576328,5.338434997290405,waterfront
47,3,3,0.5881127195718142,8.975834101266317,grade
48,3,4,0.6246260307174437,0.0620855661346921,sqft_lot
49,3,5,0.6355057542279947,0.01741797967986473,yr_renovated
50,3,6,0.6816020390704685,0.0725348032426095,view
51,3,7,0.7230238672856657,0.0607712797803335,sqft_above
52,3,8,0.731284766397432,0.01142548605314911,sqft_lot15
53,3,9,0.7232558671942794,-0.010979169226655497,floors
54,3,10,0.7587501683111817,0.04907571818891022,yr_built
55,3,11,0.7642900766155096,0.007301360231205754,bathrooms
56,3,12,0.7477889971598037,-0.021590074188555856,sqft_basement
57,3,13,0.7399284020410978,-0.010511782265534108,bedrooms
58,3,14,0.758235980699145,0.024742365082277736,sqft_living
59,3,15,0.7949534450143505,0.0484248509037378,sqft_living15
60,4,1,0.008962280810052237,-0.8207543837989553,sqft_lot15
61,4,2,0.4384402547692121,47.920611177173846,sqft_above
62,4,3,0.5363985276088051,0.22342445013667067,sqft_living15
63,4,4,0.5728881752984503,0.06802712127550245,bathrooms
64,4,5,0.635352226809455,0.10903358491989061,condition
65,4,6,0.6580119771626209,0.03566486335769416,yr_renovated
66,4,7,0.6552035401824753,-0.004268063618318577,floors
67,4,8,0.6863661381396335,0.04756170570824361,sqft_living
68,4,9,0.6931326431152804,0.009858448136714945,sqft_lot
69,4,10,0.6748865440984588,-0.02632410866528322,sqft_basement
70,4,11,0.6817043747464914,0.010102187853130306,bedrooms
71,4,12,0.7073013100364345,0.0375484392328595,view
72,4,13,0.7338768278307368,0.037573121125611064,yr_built
73,4,14,0.762854176220912,0.03948530228952615,waterfront
74,4,15,0.7952325061363356,0.042443668691468546,grade
75,5,1,0.018390444401607642,-0.6321911119678472,yr_renovated
76,5,2,0.427152965435051,22.22689740970645,sqft_above
77,5,3,0.47888399033993045,0.12110655687990352,yr_built
78,5,4,0.6346476719205163,0.3252639151081637,grade
79,5,5,0.6649791946764321,0.047792695219584,sqft_basement
80,5,6,0.6717289918227914,0.010150388463873236,bedrooms
81,5,7,0.6847426363374053,0.01937335543505463,sqft_lot15
82,5,8,0.723249266545258,0.056235187009559415,view
83,5,9,0.7291527056353491,0.008162385173634521,bathrooms
84,5,10,0.7427083361247093,0.01859093490923623,floors
85,5,11,0.7392881404349879,-0.004605032047394599,sqft_lot
86,5,12,0.7421156167101223,0.003824593038203891,sqft_living
87,5,13,0.7397789681661788,-0.003148631414471582,condition
88,5,14,0.7598634495403277,0.02714930031592521,sqft_living15
89,5,15,0.7964051823952389,0.048089867826932364,waterfront
90,6,1,0.16151906395464333,2.2303812790928665,view
91,6,2,0.5728148789273539,2.5464227249868654,grade
92,6,3,0.5682492387977379,-0.007970533408918398,floors
93,6,4,0.6580813722664095,0.1580857963993619,bathrooms
